,Unnamed: 0,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
4,4,30,0.0002279233385547,40,15,3,"[0.3205651342868805, 0.19067716598510742, 0.13490724563598633, 0.11012957990169525, 0.09387817978858948, 0.08133567869663239, 0.0710657387971878, 0.062198761850595474, 0.05397934466600418, 0.04735811427235603, 0.041352976113557816, 0.03641505539417267, 0.032821085304021835, 0.02857675962150097, 0.02509995922446251]","[0.1350720226764679, 0.12203799188137054, 0.09449157118797302, 0.09685827791690826, 0.07573174685239792, 0.08936010301113129, 0.07372036576271057, 0.0616876445710659, 0.0642460361123085, 0.06141344830393791, 0.06466381996870041, 0.05732585862278938, 0.057977765798568726, 0.057382915169000626, 0.05976168438792229]",0.0573258586227893,997.78620269394,0
5,5,31,5.575223915861436e-06,20,19,5,"[0.5569507479667664, 0.30659666657447815, 0.2748194634914398, 0.25827711820602417, 0.24469810724258423, 0.2343752533197403, 0.22476300597190857, 0.21617479622364044, 0.20920592546463013, 0.20218659937381744, 0.19587504863739014, 0.19075028598308563, 0.18482519686222076, 0.1800261288881302, 0.17623336613178253, 0.17165543138980865, 0.16791726648807526, 0.16417443752288818, 0.16122199594974518]","[0.22511523962020874, 0.18963631987571716, 0.1802903711795807, 0.16511842608451843, 0.15769091248512268, 0.15062524378299713, 0.14791645109653473, 0.1417863667011261, 0.13645905256271362, 0.13275408744812012, 0.13198688626289368, 0.13027459383010864, 0.12396745383739471, 0.12575463950634003, 0.12437736988067627, 0.11831973493099213, 0.11355101317167282, 0.11364001035690308, 0.11440451443195343]",0.1135510131716728,1552.102137679001,0
6,6,32,2.863935569814644e-05,51,13,4,"[0.40201905369758606, 0.2697889506816864, 0.23942814767360687, 0.21571224927902222, 0.19634167850017548, 0.17994152009487152, 0.16804838180541992, 0.15783540904521942, 0.14942923188209534, 0.14244301617145538, 0.13540183007717133, 0.1302730143070221, 0.1252545565366745]","[0.19646424055099487, 0.17273768782615662, 0.14888712763786316, 0.14068281650543213, 0.13874298334121704, 0.12281163781881332, 0.11233611404895782, 0.11497600376605988, 0.10320858657360077, 0.10571341961622238, 0.10573025792837143, 0.0995093584060669, 0.09675586968660355]",0.0967558696866035,876.6898484249832,0
7,7,33,0.0002277658175305,33,20,5,"[0.28588175773620605, 0.1572394222021103, 0.11394710838794708, 0.09059439599514008, 0.07611061632633209, 0.061997734010219574, 0.05086986720561981, 0.04231775179505348, 0.03504084423184395, 0.02931477315723896, 0.025673214346170425, 0.02283761091530323, 0.020142197608947754, 0.018844546750187874, 0.017416108399629593, 0.016175249591469765, 0.014888662844896317, 0.01369938813149929, 0.013833418488502502, 0.01271829940378666]","[0.1486068069934845, 0.11253627389669418, 0.08372513204813004, 0.10935595631599426, 0.06727523356676102, 0.05949966609477997, 0.062306106090545654, 0.054449692368507385, 0.05069044604897499, 0.05182458087801933, 0.04946795105934143, 0.04566527158021927, 0.049027737230062485, 0.04780612140893936, 0.047881320118904114, 0.04857993125915527, 0.04207441955804825, 0.04522557929158211, 0.04293922707438469, 0.04004392400383949]",0.0400439240038394,1436.5890021510422,0
5,5,34,0.0029842329876297,38,18,1,"[1.005094051361084, 1.0003759860992432, 1.000335693359375, 1.0003496408462524, 1.0003012418746948, 1.000260829925537, 1.0002727508544922, 1.0003148317337036, 1.0002039670944214, 1.0000911951065063, 1.0002259016036987, 1.0002927780151367, 1.000300645828247, 1.0002919435501099, 1.0003437995910645, 1.0001506805419922, 1.000335693359375, 1.000260591506958]","[0.7306101322174072, 0.7331949472427368, 0.7327942252159119, 0.7324656844139099, 0.7316646575927734, 0.7340324521064758, 0.7359477281570435, 0.7354938983917236, 0.7321131229400635, 0.7375738620758057, 0.7301090359687805, 0.7352972626686096, 0.7315953969955444, 0.731080949306488, 0.733237087726593, 0.7292492985725403, 0.7323551774024963, 0.7300746440887451]",0.7292492985725403,904.9325282860082,0
7,7,35,0.0003564803221259,52,15,4,"[0.30541086196899414, 0.17224355041980743, 0.12163779884576797, 0.10088571906089783, 0.07951182872056961, 0.06651877611875534, 0.053662847727537155, 0.045476317405700684, 0.03752158582210541, 0.030857715755701065, 0.027847368270158768, 0.025748318061232567, 0.022639166563749313, 0.04327823594212532, 0.027059558779001236]","[0.19635669887065887, 0.12118005007505417, 0.12474552541971207, 0.08045797049999237, 0.09321874380111694, 0.08898728340864182, 0.06984560191631317, 0.1457562893629074, 0.05755359306931496, 0.07453085482120514, 0.0576513446867466, 0.05876883119344711, 0.2985546290874481, 0.09688661992549896, 0.055061083287000656]",0.0550610832870006,1014.6061413000572,0
8,8,36,8.859896428596207e-06,42,17,1,"[0.5043209791183472, 0.32035261392593384, 0.2947008013725281, 0.2761843502521515, 0.26226362586021423, 0.2522532045841217, 0.24362415075302124, 0.23586198687553406, 0.22991320490837097, 0.22435550391674042, 0.21893687546253204, 0.21440823376178741, 0.21009333431720734, 0.2065795361995697, 0.20202626287937164, 0.19912070035934448, 0.19571688771247864]","[0.22069421410560608, 0.20976725220680237, 0.18299232423305511, 0.17605142295360565, 0.1632835417985916, 0.1607600897550583, 0.16294559836387634, 0.15034160017967224, 0.15021540224552155, 0.14333555102348328, 0.1429651528596878, 0.13900718092918396, 0.13639093935489655, 0.13626155257225037, 0.13434547185897827, 0.12959308922290802, 0.1302190124988556]",0.129593089222908,838.2032762486488,0
6,6,37,0.0001404340163421,47,8,5,"[0.32075250148773193, 0.18644815683364868, 0.151391863822937, 0.1278253197669983, 0.11106518656015396, 0.09820793569087982, 0.08657950907945633, 0.0767710953950882]","[0.1541496217250824, 0.11673091351985931, 0.1593105047941208, 0.09982425719499588, 0.09262021631002426, 0.07474498450756073, 0.0957253947854042, 0.0689368024468422]",0.0689368024468422,571.6501822960563,0
8,8,38,0.0005153823377624,35,16,3,"[0.28517550230026245, 0.14774267375469208, 0.11044862866401672, 0.08387041091918945, 0.06651487946510315, 0.05608825758099556, 0.04662984237074852, 0.04129364341497421, 0.037326253950595856, 0.030688941478729248, 0.027616538107395172, 0.024876592680811882, 0.023958079516887665, 0.02402232028543949, 0.02045143023133278, 0.018758533522486687]","[0.132879838347435, 0.129946768283844, 0.14022628962993622, 0.07549461722373962, 0.09342201054096222, 0.08224416524171829, 0.06188840791583061, 0.05301390215754509, 0.05580439046025276, 0.05505189672112465, 0.057812854647636414, 0.04720383137464523, 0.04676881060004234, 0.0596284382045269, 0.04857460781931877, 0.04488313943147659]",0.0448831394314765,1071.8926686868072,0
6,6,39,0.0072699670559354,47,5,2,"[2.974809408187866, 1.0001041889190674, 1.0001524686813354, 1.000300645828247, 1.0003355741500854]","[0.7305831909179688, 0.7313063144683838, 0.7309294939041138, 0.7316903471946716, 0.7321738004684448]",0.7305831909179688,307.2129335940117,0
