number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_lr,params_rot_inv,state
144,0.04045542702078819,2022-10-12 17:33:19.544412,2022-10-12 17:52:13.170998,0 days 00:18:53.626586,56,17,0.0009931105458749585,0,COMPLETE
145,0.03350092098116875,2022-10-12 17:35:34.588419,2022-10-12 17:54:47.374314,0 days 00:19:12.785895,61,17,0.0008870942238369944,0,COMPLETE
146,0.07013141363859177,2022-10-12 17:37:49.525641,2022-10-12 17:56:42.497703,0 days 00:18:52.972062,58,17,0.0010657900857160988,0,COMPLETE
147,0.03701226785778999,2022-10-12 17:48:50.836713,2022-10-12 18:08:02.984638,0 days 00:19:12.147925,61,17,0.0011314729353855343,0,COMPLETE
148,0.7312197685241699,2022-10-12 17:50:03.080308,2022-10-12 18:08:56.467297,0 days 00:18:53.386989,61,17,0.0013037375180328182,0,COMPLETE
149,0.7314558625221252,2022-10-12 17:52:13.236636,2022-10-12 18:11:01.910595,0 days 00:18:48.673959,61,17,0.0013987521018143038,0,COMPLETE
150,0.7305792570114136,2022-10-12 17:54:47.462074,2022-10-12 18:13:59.027649,0 days 00:19:11.565575,61,17,0.001929267060001324,0,COMPLETE
151,0.730491042137146,2022-10-12 17:56:42.596273,2022-10-12 18:14:29.385483,0 days 00:17:46.789210,61,16,0.0022910856941585995,0,COMPLETE
152,0.7303171157836914,2022-10-12 18:08:03.250778,2022-10-12 18:26:14.017768,0 days 00:18:10.766990,61,16,0.002422330145325341,0,COMPLETE
153,0.4564346373081207,2022-10-12 18:08:56.983734,2022-10-12 18:26:44.119287,0 days 00:17:47.135553,62,16,0.0021561989906174806,0,COMPLETE
154,0.7310969829559326,2022-10-12 18:11:01.992306,2022-10-12 18:28:43.834486,0 days 00:17:41.842180,60,16,0.0018096153533142065,0,COMPLETE
155,0.05297603830695152,2022-10-12 18:13:59.175818,2022-10-12 18:32:03.168069,0 days 00:18:03.992251,60,16,0.00042259593746128254,0,COMPLETE
